feature,importance
city,0.3390922602709699
area_m2,0.3254999405346658
district,0.13382882366390486
neighborhood,0.07200587355836838
total_rooms,0.053938136871711194
listing_day,0.045080565334150016
room_layout,0.015043401855329043
rooms,0.00768757828979611
seller_type,0.005368401426070439
living_rooms,0.0016499988501942123
listing_month,0.0008050193448400576
