seller_type,area_m2,room_layout,city,district,neighborhood,listing_date_raw,price_try,rooms,living_rooms,total_rooms,listing_date,listing_month,listing_day,price_per_m2,is_model_candidate_domain,is_model_candidate_pct
Emlak-ofisinden,125.0,3+1,Usak,Merkez,Bilinmiyor,09 Mayıs  2025,1820000,3.0,1.0,4.0,2025-05-09,5,9,14560.0,True,True
Emlak-ofisinden,150.0,3+1,Usak,Merkez,Yenisanayi,11 Mayıs  2025,4350000,3.0,1.0,4.0,2025-05-11,5,11,29000.0,True,True
Emlak-ofisinden,175.0,3+1,Usak,Merkez,Bilinmiyor,09 Mayıs  2025,4150000,3.0,1.0,4.0,2025-05-09,5,9,23714.285714285714,True,True
Emlak-ofisinden,90.0,2+1,Usak,Merkez,Bilinmiyor,11 Mayıs  2025,870000,2.0,1.0,3.0,2025-05-11,5,11,9666.666666666666,True,True
Emlak-ofisinden,165.0,3+1,Usak,Merkez,Yenisanayi,08 Mayıs  2025,2900000,3.0,1.0,4.0,2025-05-08,5,8,17575.757575757576,True,True
Emlak-ofisinden,135.0,3+1,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,2150000,3.0,1.0,4.0,2025-05-08,5,8,15925.925925925925,True,True
Emlak-ofisinden,150.0,3+1,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,2650000,3.0,1.0,4.0,2025-05-08,5,8,17666.666666666668,True,True
Emlak-ofisinden,130.0,3+1,Usak,Merkez,Bilinmiyor,09 Mayıs  2025,1430000,3.0,1.0,4.0,2025-05-09,5,9,11000.0,True,True
Emlak-ofisinden,150.0,3+1,Usak,Merkez,Dokumacılar,10 Mayıs  2025,3345000,3.0,1.0,4.0,2025-05-10,5,10,22300.0,True,True
Emlak-ofisinden,85.0,2+1,Usak,Merkez,Bilinmiyor,08 Mayıs  2025,2230000,2.0,1.0,3.0,2025-05-08,5,8,26235.29411764706,True,True
Emlak-ofisinden,25.0,1+1,Usak,Banaz,Bilinmiyor,13 Mayıs  2025,2300000,1.0,1.0,2.0,2025-05-13,5,13,92000.0,True,False
Emlak-ofisinden,140.0,3+1,Usak,Merkez,Dokumacılar,08 Mayıs  2025,2400000,3.0,1.0,4.0,2025-05-08,5,8,17142.85714285714,True,True
